ADVERTISER,BRAND_ROOT,Brand (Major),Brand (Minor),Brand (Leaf),PUBLISHER,DATE,CHANNEL,Top-Level Category,PLACEMENT,Spend (USD),IMPRESSIONS
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,collider.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,259.33,17442
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),seattletimes.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,494.61,30709
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),heavy.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,360.33,36560
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,ktla.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1179.00,76261
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Reels,715080.62,88512988
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Feed,84771.65,10493049
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Stories,105765.09,13091602
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Reels,59975.47,7423785
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Stories,8950.28,1107863
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Feed,61091.86,7561958
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Reels,144.72,17913
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Feed,5701.32,705710
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Reels,12110.70,1499054
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Stories,308.93,38240
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-01-01,Instagram,Food & Dining Services,Reels,6331.44,783695
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-01-01,Instagram,Food & Dining Services,Stories,1660.09,205487
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-01-01,Instagram,Food & Dining Services,Feed,300.19,37158
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Stories,1026.63,127077
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Feed,15253.84,1888106
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Stories,14243.75,1763088
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-01-01,Instagram,Consumer Packaged Goods,Reels,7509.80,929563
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),si.com (Sports Illustrated) (Maven),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,14504.88,1085725
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Twitch,2025-01-01,Desktop Video,Consumer Packaged Goods,In-Stream,3450.75,154362
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,nexusmods.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,5.05,2420
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),triblive.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,197.14,10388
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Pluto TV,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,14185.49,665340
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),hypesouthflorida.com (Tribune Media),2025-01-01,Desktop Video,Consumer Packaged Goods,Other,5.63,100
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),metro.us,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1092.14,41454
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,baseballamerica.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1239.25,17922
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Snapchat,2025-01-01,Snapchat,Consumer Packaged Goods,Spotlight,42052.38,7879531
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Snapchat,2025-01-01,Snapchat,Consumer Packaged Goods,Feed,95399.69,17875440
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Snapchat,2025-01-01,Snapchat,Consumer Packaged Goods,Camera (AR),197.24,36957
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,mathway.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,21653.57,313153
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Tubi,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,32952.25,1430689
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Tubi,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,7151.33,310490
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,dallascowboys.com,2025-01-01,Mobile Display,Consumer Packaged Goods,Other,75.33,9102
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),goskagit.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,12171.96,176031
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,onmilwaukee.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1610.04,23284
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),recorderonline.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,8.16,118
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),sciencenews.org,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,39.35,12971
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Peacock,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,19840.06,528322
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Peacock,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,6659.39,177334
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,TikTok,2025-01-01,TikTok,Consumer Packaged Goods,Feed,159335.15,16445736
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,TikTok,2025-01-01,TikTok,Consumer Packaged Goods,Feed,8987.28,927620
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",TikTok,2025-01-01,TikTok,Food & Dining Services,Feed,35672.45,3681923
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Paramount+,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,2554.41,119778
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Paramount+,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,67997.54,3188448
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),behindthesteelcurtain.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,10.60,2144
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),bleedinggreennation.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,21062.80,312684
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),bloggingtheboys.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,75.10,15185
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),cincyjungle.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,10.93,2210
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),fieldgulls.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,1673.86,27717
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),ninersnation.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,18.52,3744
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),patspulpit.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,12.24,2475
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),prideofdetroit.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,3770.22,57987
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,OTT Streaming Services (General),2025-01-01,OTT,Consumer Packaged Goods,In-Stream,129256.07,5218480
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,OTT Streaming Services (General),2025-01-01,OTT,Consumer Packaged Goods,In-Stream,66656.77,2691149
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),OTT Streaming Services (General),2025-01-01,OTT,Consumer Packaged Goods,In-Stream,24078.66,972134
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,cbr.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,337.39,68221
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,kaaltv.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,5.05,1021
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,thegamer.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,227.31,45963
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),colonist.io,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,82.43,28139
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),essentiallysports.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,11226.22,162350
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),deseret.com,2025-01-01,Desktop Video,Consumer Packaged Goods,Other,7866.47,113763
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Amazon Prime Video,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,2545.73,82118
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Amazon Prime Video,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,2751.43,88750
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Amazon Prime Video,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,46837.88,1510847
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),denvergazette.com,2025-01-01,Desktop Display,Consumer Packaged Goods,Other,72.62,24787
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Disney+,2025-01-01,OTT,Consumer Packaged Goods,In-Stream,170080.58,4571812
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Reels,32806.29,4539798
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Stories,2182.44,302011
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,317787.21,43976050
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,170974.87,23659826
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Stories,81569.58,11287758
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Reels,15735.68,2177532
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Stories,282.32,39068
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,1387.80,192047
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-02-01,Facebook,<uncategorized>,Reels,297.24,41132
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-02-01,Facebook,<uncategorized>,Feed,6036.60,835355
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Stories,553.34,76573
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,139360.39,19284963
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Reels,3790.73,524570
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Marketplace,27172.02,3760117
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Other,265.90,36795
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-02-01,Facebook,Food & Dining Services,Stories,3682.83,509639
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-02-01,Facebook,Food & Dining Services,Feed,70826.77,9801148
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Facebook,2025-02-01,Facebook,Food & Dining Services,Other,888.07,122892
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Reels,824.44,114087
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,561.16,77654
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,258.47,35768
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Marketplace,268.09,37099
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Feed,29605.27,4096836
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Stories,2150.16,297542
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-02-01,Facebook,Consumer Packaged Goods,Reels,1364.26,188789
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-02-01,Desktop Display,Consumer Packaged Goods,Other,97.74,10336
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-02-01,YouTube,Consumer Packaged Goods,Reels,2568.18,318901
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-02-01,YouTube,Consumer Packaged Goods,Feed,12199.75,10172963
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-02-01,YouTube,Consumer Packaged Goods,In-Stream,112225.24,7131463
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,YouTube,2025-02-01,YouTube,Consumer Packaged Goods,In-Stream,59236.65,3309964
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,YouTube,2025-02-01,YouTube,Consumer Packaged Goods,In-Stream,236.55,17624
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-02-01,YouTube,Food & Dining Services,In-Stream,2210.05,131621
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-02-01,YouTube,Food & Dining Services,Feed,38.43,32048
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,YouTube,2025-02-01,YouTube,Consumer Packaged Goods,In-Stream,323.56,18079
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),YouTube,2025-02-01,YouTube,Consumer Packaged Goods,In-Stream,3020.74,321220
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,walmart.com,2025-02-01,Desktop Display,Consumer Packaged Goods,Other,7835.00,1065969
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Hulu,2025-02-01,OTT,Consumer Packaged Goods,In-Stream,11519.31,416642
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Hulu,2025-02-01,OTT,Consumer Packaged Goods,In-Stream,618541.43,22372135
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Hulu,2025-02-01,OTT,Consumer Packaged Goods,In-Stream,70431.21,2547440
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),yardbarker.com,2025-02-01,Desktop Video,Consumer Packaged Goods,Other,317.23,28812
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),ajc.com (Cox Enterprises),2025-02-01,Desktop Video,Consumer Packaged Goods,Other,111.31,9887
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),baltimoresun.com (Tribune Media),2025-02-01,Desktop Video,Consumer Packaged Goods,Other,1741.71,150848
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Stories,141957.50,17571480
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Reels,804462.87,99576442
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Feed,46954.83,5812054
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Feed,70398.57,8713937
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Reels,67146.65,8311425
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Stories,16944.37,2097387
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Feed,580.93,71908
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Reels,48612.06,6017194
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Stories,8875.54,1098615
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Feed,100853.11,12483595
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-02-01,Instagram,Food & Dining Services,Stories,1757.25,217512
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-02-01,Instagram,Food & Dining Services,Feed,730.61,90436
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-02-01,Instagram,Food & Dining Services,Reels,1031.23,127645
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Stories,2918.06,361193
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Feed,9248.80,1144813
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Reels,7271.15,900022
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-02-01,Instagram,Consumer Packaged Goods,Stories,16780.19,2077056
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Twitch,2025-02-01,Desktop Video,Consumer Packaged Goods,In-Stream,23444.21,1048727
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),triblive.com,2025-02-01,Desktop Video,Consumer Packaged Goods,Other,3438.02,154231
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),hypesouthflorida.com (Tribune Media),2025-02-01,Desktop Video,Consumer Packaged Goods,Other,2.14,31
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Snapchat,2025-02-01,Snapchat,Consumer Packaged Goods,Spotlight,39901.90,7476587
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Snapchat,2025-02-01,Snapchat,Consumer Packaged Goods,Feed,117404.50,21998573
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Snapchat,2025-02-01,Snapchat,Consumer Packaged Goods,Camera (AR),38925.74,7293678
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Tubi,2025-02-01,OTT,Consumer Packaged Goods,In-Stream,6386.80,277296
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Tubi,2025-02-01,OTT,Consumer Packaged Goods,In-Stream,17842.54,774670
