ADVERTISER,BRAND,MEDIA_GROUP,MEDIA,MEDIA_OWNER,DOW,NATIONAL/LOCAL,MARKET,PROGRAM,PROGRAM_GENRE,DAYPART,PROPERTY,JAN_2025__$,JAN_2025__UNITS,FEB_2025__$,FEB_2025__UNITS,MAR_2025__$,MAR_2025__UNITS,APR_2025__$,APR_2025__UNITS,MAY_2025__$,MAY_2025__UNITS,JUNE_2025__$,JUNE_2025__UNITS,JUL_2025__$,JUL_2025__UNITS,AUG_2025__$,AUG_2025__UNITS,SEPT_2025__$,SEPT_2025__UNITS,OCT_2025__$,OCT_2025__UNITS,TOTAL_$,TOTAL_UNITS
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,794,1,,,,,"2,167",3,"2,961",4
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Prime Time,LIFE,,,,,,,"1,020",1,,,,,,,,,,,,,"1,020",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Overnight,LIFE,,,,,,,482,1,,,,,,,,,,,,,482,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,CHRISLEYS: BACK TO REALI,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,476,1,,,476,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,794,1,,,,,,,794,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,GYPSY ROSE: LIFE AFTER L,ENTERTAINMENT,Late Fringe,LIFE,,,713,1,,,,,,,,,,,,,,,,,713,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,GYPSY ROSE: LIFE AFTER L,ENTERTAINMENT,Overnight,LIFE,,,427,1,,,,,,,,,,,,,,,,,427,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,,,,,,,,,"1,183",3,,,"1,183",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,,,,,,,,,,,,,,,,,237,1,,,237,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,408,1,,,,,408,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,MARRIED AT FIRST SIGHT,ENTERTAINMENT,Prime Time,LIFE,,,"4,730",2,,,,,,,,,,,,,,,,,"4,730",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,MARRIED AT FIRST SIGHT,ENTERTAINMENT,Late Fringe,LIFE,,,"1,425",1,,,,,,,,,,,,,,,,,"1,425",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,MARRIED AT FIRST SIGHT,ENTERTAINMENT,Overnight,LIFE,,,"1,425",1,,,,,,,,,,,,,,,,,"1,425",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,NEIGHBORHOOD WARS,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,865,1,,,,,,,,,,,865,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,RIZZOLI & ISLES,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,,,,,,,542,1,542,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,ROAD WARS,ENTERTAINMENT,Early Fringe,A&E,,,,,,,840,1,,,,,,,,,710,2,,,"1,550",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,ROAD WARS,ENTERTAINMENT,Early News,A&E,,,,,,,,,,,,,,,403,1,,,,,403,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,ROAD WARS,ENTERTAINMENT,Prime Access,A&E,,,,,,,,,,,,,"1,722",1,,,,,,,"1,722",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Tuesday,NATIONAL,* TOTAL US,STORAGE WARS TEXAS,ENTERTAINMENT,Early Morning,A&E,,,,,,,,,,,,,"1,464",4,"1,620",6,"1,920",7,"1,728",6,"6,732",23
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,BALANCING ACT,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,102,1,93,1,195,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,,,542,1,542,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,COURT CAM,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,,,,,"2,020",2,,,,,"1,419",4,"3,439",6
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,COURT CAM,ENTERTAINMENT,Early News,A&E,,,,,,,,,,,,,,,,,,,640,2,640,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,DESIGNING SPACES,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,102,1,93,1,195,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Early Fringe,A&E,"6,862",4,,,,,"3,359",3,,,,,,,,,,,,,"10,221",7
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Early News,A&E,"2,287",1,,,,,,,,,,,,,,,,,,,"2,287",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Prime Access,A&E,"3,500",2,"1,471",1,,,,,,,,,,,,,,,,,"4,971",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,794,1,"1,223",2,542,1,"1,491",2,"4,050",6
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,,,542,1,542,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,MILITARY MAKEOVER,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,,,186,2,186,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,MY STRANGE ARREST,ENTERTAINMENT,Prime Time,A&E,,,,,,,,,,,,,,,"1,224",1,,,,,"1,224",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,MY STRANGE ARREST,ENTERTAINMENT,Overnight,A&E,,,,,,,,,,,,,,,695,1,,,,,695,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,"2,024",1,,,,,,,,,,,,,,,,,,,"2,024",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,"1,225",1,,,,,,,,,,,,,,,,,,,"1,225",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,STADIUM LOCKUP,ENTERTAINMENT,Early Fringe,A&E,,,,,,,"1,679",1,"5,189",5,,,,,,,,,,,"6,868",6
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,STADIUM LOCKUP,ENTERTAINMENT,Early News,A&E,,,,,,,840,1,"3,459",3,,,,,,,,,,,"4,299",4
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,STADIUM LOCKUP,ENTERTAINMENT,Prime Access,A&E,,,,,,,,,"2,490",1,,,,,,,,,,,"2,490",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,* TOTAL US,STORAGE WARS TEXAS,ENTERTAINMENT,Early Morning,A&E,,,,,,,,,,,,,"1,464",4,"1,458",5,768,3,0,5,"3,690",17
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,BALANCING ACT,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,204,2,102,1,306,3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,542,1,950,2,"1,492",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Early Morning,LIFE,,,,,,,,,,,,,442,2,,,,,,,442,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,,,408,1,,,,,408,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,FIRST 48,ENTERTAINMENT,Early Fringe,A&E,"3,431",2,,,,,840,1,865,1,,,"1,010",1,,,,,446,2,"6,592",7
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,FIRST 48,ENTERTAINMENT,Early News,A&E,,,,,,,,,,,,,"1,010",1,,,,,223,1,"1,233",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,FIRST 48,ENTERTAINMENT,Prime Access,A&E,"1,742",1,,,,,,,"2,758",1,,,"1,607",1,,,"1,050",1,"3,462",3,"10,619",7
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,HOMICIDE SQUAD NEW ORLEA,ENTERTAINMENT,Early Fringe,A&E,231,1,,,,,,,,,,,,,,,,,,,231,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,,,,,542,1,542,1,"1,084",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,815,1,,,"1,625",2,"2,440",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,MILITARY MAKEOVER,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,,,102,1,102,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,,,"6,982",4,,,"2,040",1,,,,,,,,,,,,,"9,022",5
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Late News,LIFE,,,716,1,,,,,,,,,,,,,,,,,716,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,,,"1,431",1,,,697,1,,,,,,,,,,,,,"2,128",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,,,"2,951",4,,,"1,875",2,,,,,,,,,,,,,"4,826",6
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,* TOTAL US,STORAGE WARS TEXAS,ENTERTAINMENT,Early Morning,A&E,,,,,,,,,,,,,"1,464",4,"1,944",7,"1,344",5,960,3,"5,712",19
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,CASTLE,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,,,542,1,542,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Early Morning,LIFE,,,,,,,,,,,,,,,229,1,,,,,229,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,CLOSER,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,794,1,,,542,1,,,"1,336",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,COURT CAM,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,"2,595",3,,,,,,,,,,,"2,595",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,DESIGNING SPACES,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,,,217,2,217,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,FIRST 48,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,865,1,,,,,,,446,2,640,2,"1,951",5
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,FIRST 48,ENTERTAINMENT,Early News,A&E,"3,431",2,872,1,,,,,"1,729",1,,,,,,,,,237,1,"6,269",5
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,FIRST 48,ENTERTAINMENT,Prime Access,A&E,,,,,,,,,,,,,"1,607",1,,,,,"1,720",2,"3,327",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,FUGITIVE HUNTERS MEXICO,ENTERTAINMENT,Early Fringe,A&E,692,2,,,,,,,,,,,,,,,,,,,692,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIE DETECTOR: TRUTH OR D,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,,,,,"1,010",1,,,,,,,"1,010",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,,,,,,,403,1,,,,,403,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Prime Access,A&E,,,,,,,,,,,,,,,"3,672",3,,,,,"3,672",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Prime Time,A&E,,,,,,,,,,,,,,,"1,224",1,,,,,"1,224",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Late Fringe,A&E,,,,,,,,,,,,,,,"1,796",2,,,,,"1,796",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD PRESENTS: PD CAM,ENTERTAINMENT,Overnight,A&E,,,,,,,,,,,,,,,695,1,,,,,695,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,,,,,,,840,1,,,,,,,,,,,,,840,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,,,,,878,1,"1,679",1,,,,,,,,,,,,,"2,557",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,,,,,"2,698",1,"1,319",1,,,,,,,,,,,,,"4,017",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Morning,LIFE,,,,,,,,,,,,,,,,,,,"1,625",2,"1,625",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,MAJOR CRIMES,ENTERTAINMENT,Afternoon,LIFE,,,,,,,,,,,,,,,,,542,1,408,1,950,2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,MILITARY MAKEOVER,INFORMATIONAL,Early Morning,LIFE,,,,,,,,,,,,,,,,,,,102,1,102,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,ROAD WARS,ENTERTAINMENT,Early Fringe,A&E,"2,287",1,"1,743",1,,,,,,,,,,,,,,,,,"4,030",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,,,"2,327",1,,,"1,020",1,,,,,,,,,,,,,"3,347",2
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,,,716,1,664,1,697,1,,,,,,,,,,,,,"2,077",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,,,"1,833",2,488,1,,,,,,,,,,,,,,,"2,321",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,* TOTAL US,STORAGE WARS TEXAS,ENTERTAINMENT,Early Morning,A&E,,,,,,,,,,,,,"1,098",3,"1,944",7,"1,920",7,"1,284",5,"6,246",22
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,ABDUCTED OFF THE STREET,ENTERTAINMENT,Weekend Afternoon,LIFE,,,,,,,,,,,,,,,"1,691",1,,,,,"1,691",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,GIRL IN THE ATTIC,ENTERTAINMENT,Early Fringe,LIFE,,,,,,,,,,,,,,,"1,691",1,,,,,"1,691",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,GIRL IN THE BASEMENT,ENTERTAINMENT,Early Fringe,LIFE,,,,,,,,,,,,,,,"1,691",1,,,,,"1,691",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,GIRL IN THE CLOSET,ENTERTAINMENT,Early Fringe,LIFE,"1,935",1,,,,,,,,,,,,,,,,,,,"1,935",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,GIRL IN THE VIDEO,ENTERTAINMENT,Early Fringe,LIFE,968,1,,,,,,,,,,,,,,,,,,,968,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,GIRL IN THE VIDEO,ENTERTAINMENT,Saturday Morning,LIFE,,,,,,,,,,,,,,,543,1,,,,,543,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,KEYSHIA COLE: THIS IS MY,ENTERTAINMENT,Early Fringe,LIFE,,,"1,920",1,,,,,,,,,,,,,,,,,"1,920",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,KIDNAPPED IN A SMALL TOW,ENTERTAINMENT,Prime Access,LIFE,,,,,,,,,,,,,900,1,,,,,,,900,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,LISA LISA STORY,ENTERTAINMENT,Prime Access,LIFE,,,"2,104",1,,,,,,,,,,,,,,,,,"2,104",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,MARY J. BLIGE'S FAMILY A,ENTERTAINMENT,Weekend Afternoon,LIFE,,,960,1,,,,,,,,,,,,,,,,,960,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,MARY J. BLIGE'S STRENGTH,ENTERTAINMENT,Prime Access,LIFE,968,1,,,,,,,,,,,,,,,,,,,968,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,MY AMISH DOUBLE LIFE,ENTERTAINMENT,Prime Time,LIFE,,,"1,013",1,,,,,,,,,,,,,,,,,"1,013",1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,MY AMISH DOUBLE LIFE,ENTERTAINMENT,Late Fringe,LIFE,,,303,1,,,,,,,,,,,,,,,,,303,1
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,STORAGE WARS,ENTERTAINMENT,Early Fringe,A&E,,,,,,,,,,,,,,,381,1,,,"1,068",2,"1,449",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,STORAGE WARS,ENTERTAINMENT,Saturday Morning,A&E,,,,,,,,,,,,,,,"2,372",3,,,,,"2,372",3
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Saturday,NATIONAL,* TOTAL US,STORAGE WARS,ENTERTAINMENT,Weekend Afternoon,A&E,,,,,,,,,,,,,,,,,,,534,1,534,1
