advertiser,brand_root,brand_major,brand_minor,brand_leaf,publisher,date,channel,top_level_category,placement,spend_usd,impressions
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-08-01,Instagram,Consumer Packaged Goods,Stories,74121.92,9014647
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),signupgenius.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,233.42,9900
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),androidpolice.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,87.34,9664
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),natashaskitchen.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,28.96,4634
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Pluto TV,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,58162.74,2472976
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),gamerant.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,27.73,5606
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Tubi,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,239637.79,9454124
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),livewellbakeoften.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,11.15,2255
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Peacock,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,68362.3,1585934
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Paramount+,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,84519.66,3390010
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),OTT Streaming Services (General),2025-08-01,OTT,Consumer Packaged Goods,In-Stream,99828.09,4057602
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),cbr.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,221.36,44758
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),thegamer.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,576.02,116471
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),solitaired.com,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,246.37,49817
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),wafflegame.net,2025-08-01,Desktop Video,Consumer Packaged Goods,Other,120.73,24412
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Amazon Prime Video,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,351729.53,10184378
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Disney+,2025-08-01,OTT,Consumer Packaged Goods,In-Stream,57612.45,1286014
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-08-01,YouTube,Food & Dining Services,Feed,3586.41,2429997
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-08-01,Instagram,Food & Dining Services,Stories,545.8,66380
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-08-01,Instagram,Food & Dining Services,Reels,2485.29,302258
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-08-01,Instagram,Food & Dining Services,Feed,767.08,93293
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Stories,13907.28,1964815
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Reels,26109.3,3688708
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Feed,103498.4,14622201
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,10944.15,496847
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,9729.84,1183333
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,5555.49,675657
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,35065.14,4264614
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,tvseriesfinale.com,2025-09-01,Mobile Display,Consumer Packaged Goods,Other,9.63,4041
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,OTT Streaming Services (General),2025-09-01,OTT,Consumer Packaged Goods,In-Stream,58853.51,2392158
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Amazon Prime Video,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,223.97,6485
Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Blue Diamond Growers,Disney+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,1702.54,38005
"Chobani, Inc.",Chobani,Chobani,Chobani,Chobani,target.com,2025-09-01,Desktop Display,Consumer Packaged Goods,Other,71.66,24143
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Feed,3372.38,476449
Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Country Archer Jerky Co.,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Reels,738.16,104287
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Reels,506.9,71614
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Marketplace,4178.95,590400
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Stories,983.23,138910
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Feed,8920.75,1260319
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,739.82,44782
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,2837.26,345067
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,10087.53,1226839
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,70544.97,8579645
"Links Snacks, Inc.",Jack Link's,Jack Link's,Jack Link's,Jack Link's,dallascowboys.com,2025-09-01,Mobile Display,Consumer Packaged Goods,Other,194.64,23513
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Stories,265.23,37472
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Feed,697.78,98582
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,6198.18,281386
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Hulu,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,20144.72,623945
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,777.58,94568
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,223.98,27240
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Peacock,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,5392.46,125099
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Paramount+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,1084.63,43503
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Max,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,2608.78,68878
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,OTT Streaming Services (General),2025-09-01,OTT,Consumer Packaged Goods,In-Stream,94342.78,3834647
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Amazon Prime Video,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,777.84,22522
"Mars, Incorporated",Mars Food,Kind Snacks,Kind Snacks,Kind Snacks,Disney+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,276.54,6173
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Reels,528.95,74729
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Other,754.91,106653
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Stories,6470.5,914146
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Feed,75415.07,10654595
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,Feed,159.56,108114
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,2144.18,973420
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,8295.43,1008885
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,2644.7,321649
Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Siete Family Foods,Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,23304.75,2834302
"Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.","Tillamook Country Smoker, Inc.",Facebook,2025-09-01,Facebook,<uncategorized>,Feed,480.07,67825
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Feed,265149.12,37460147
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Marketplace,33777.48,4772071
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Stories,35718.88,5046338
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Facebook,2025-09-01,Facebook,Consumer Packaged Goods,Reels,40566.54,5731205
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),YouTube,2025-09-01,YouTube,Consumer Packaged Goods,In-Stream,8028.16,558583
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Hulu,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,651833.89,20189306
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),screenrant.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,540.76,117698
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),collider.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,387.21,26043
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Stories,49602.0,6032580
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Feed,80289.03,9764727
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Instagram,2025-09-01,Instagram,Consumer Packaged Goods,Reels,250617.35,30480008
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),autoevolution.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,1906.88,385576
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),gamersheroes.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,25.6,2452
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),gamerant.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,9.29,1878
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Tubi,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,218837.98,8633532
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),lowcarbmaven.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,2.27,460
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),TikTok,2025-09-01,TikTok,Consumer Packaged Goods,Feed,1015.49,90248
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Paramount+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,95814.53,3843047
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),minimalistbaker.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,589.03,119104
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Max,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,4340.03,114588
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),OTT Streaming Services (General),2025-09-01,OTT,Consumer Packaged Goods,In-Stream,187413.0,7617570
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),thegamer.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,368.62,74534
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),solitaired.com,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,280.19,56654
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),wafflegame.net,2025-09-01,Desktop Video,Consumer Packaged Goods,Other,255.75,51712
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Amazon Prime Video,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,187963.19,5442382
We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),We Are The Chompians LLC (Chomps),Disney+,2025-09-01,OTT,Consumer Packaged Goods,In-Stream,174839.61,3902720
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-09-01,YouTube,Food & Dining Services,Feed,6161.69,4174943
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",YouTube,2025-09-01,YouTube,Food & Dining Services,In-Stream,241.04,21885
"good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC","good culture, LLC",Instagram,2025-09-01,Instagram,Food & Dining Services,Stories,753.94,91693
